"#","Reference","Qty","Value","Footprint","DNP","DigiKey P/N"
"1","C1","1","120uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","732-8943-1-ND"
"2","C2, C5","2","470pF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","BC2681CT-ND"
"3","C3, C4","2","1nF","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","","478-10987-1-ND"
"4","D1, D3","2","P6KE16CA","Diode_THT:D_DO-15_P10.16mm_Horizontal","","13-P6KE16CA/B-ND"
"5","D2","1","P6KE200A","Diode_THT:D_DO-15_P10.16mm_Horizontal","","P6KE200ALFCT-ND"
"6","F1","1","4A","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","","0617004.MXP-ND, 732-11376-ND"
"7","FB1","1","FerriteBead","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P10.16mm_Horizontal_Fastron_MICC","","1934-1414-1-ND"
"8","H1, H2","2","MountingHole","motor_board:MountingHole_#6","",""
"9","J1","1","MyRIO_C","motor_board:C_Connector","","ED3077-ND"
"10","J2, J3, J4, J14, J15","5","BNC","motor_board:Vertical_BNC_Amphenol_112536","","ACX1053-ND"
"11","J5","1","Conn_01x04","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal","","102-6136-ND"
"12","J6","1","Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","","839-54-00167-ND"
"13","J7","1","Conn_01x07","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","","S7005-ND"
"14","J8, J9","2","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","","2057-PH1-05-UA-ND"
"15","J10","1","ESCON_24-2","motor_board:ESCON_24-2","","S7009-ND, S7011-ND"
"16","J11","1","Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","","102-6134-ND"
"17","J12","1","Conn_01x05","motor_board:Encoder_and_Motor_Mount","","S6103-ND"
"18","J13","1","Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","S7036-ND"
"19","JP1","1","Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","2057-PH1-02-UA-ND, S9000-ND"
"20","R1, R2","2","560","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","560WCT-ND"
"21","R3, R4, R5, R6","4","2.7k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","CF18JT2K70CT-ND"
"22","R7, R8, R9, R10","4","100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","CF18JT100KCT-ND"
"23","R11","1","12k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","13-MFR-12FTF52-12KCT-ND"
"24","R12","1","4.7k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","","13-MFR-12FTF52-4K7CT-ND"
"25","RV1","1","10k","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical","","1993-1116-ND"
"26","SW1, SW2","2","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H5mm","","CKN9093-ND"
"27","SW4","1","SW_DPDT_x2","motor_board:TE Connectivity MHS DPDT Slide Switch","","450-1574-ND"
